-186567834518006920000000000000000000000000000, 119551448900424320000000000000000000000000, 240729204730578500000000000000000000000000, 
363550832055968600000000000000000000000000, 487972276526178700000000000000000000000000, 613961671753535840000000000000000000000000, 
741484462221222200000000000000000000000000, 870503289883495700000000000000000000000000, 1000977880829531800000000000000000000000000, 
1132864928214671700000000000000000000000000, 1266117971365075500000000000000000000000000, 1400687270921461000000000000000000000000000, 
1536519679921395500000000000000000000000000, 1673558510691278000000000000000000000000000, 1811743397423898400000000000000000000000000, 
1951010154324754400000000000000000000000000, 2091290629181315000000000000000000000000000, 2232512552234927600000000000000000000000000,
2374599380208426200000000000000000000000000, 2517470135351934000000000000000000000000000, 2661039239361037000000000000000000000000000, 
2805216342016810000000000000000000000000000, 2949906144393455500000000000000000000000000, 3095008216476574300000000000000000000000000, 
3240416809029813000000000000000000000000000, 3386020659541302000000000000000000000000000, 3531702792083774600000000000000000000000000, 
3677340310901419000000000000000000000000000, 3822804187554931400000000000000000000000000, 3967959041432291500000000000000000000000000, 
4112662913430918500000000000000000000000000, 4256767032625794500000000000000000000000000, 4400115575708170000000000000000000000000000, 
4542545419000156000000000000000000000000000, 4683885882823379000000000000000000000000000, 4823958468005941600000000000000000000000000, 
4962576584308605300000000000000000000000000, 5099545270528093400000000000000000000000000, 5234660906048785000000000000000000000000000, 
5367710913599363600000000000000000000000000, 5498473452958493000000000000000000000000000, 5626717105360498000000000000000000000000000, 
5752200548329193000000000000000000000000000, 5874672220669471000000000000000000000000000, 5993869977354967000000000000000000000000000, 
6109520733989277000000000000000000000000000, 6221340100595321000000000000000000000000000, 6329032004382648000000000000000000000000000, 
6432288301221990000000000000000000000000000, 6530788375486972000000000000000000000000000, 6624198727935530000000000000000000000000000, 
6712172551317660000000000000000000000000000, 6794349293327470000000000000000000000000000, 6870354206593948000000000000000000000000000, 
6939797885290859000000000000000000000000000, 7002275788045974000000000000000000000000000, 7057367746732653000000000000000000000000000, 
7104637460753243000000000000000000000000000, 7143631976433925000000000000000000000000000, 7173881151084940000000000000000000000000000, 
7194897101316419000000000000000000000000000, 7206173635180099000000000000000000000000000, 7207185667663424000000000000000000000000000, 
7197388619102105000000000000000000000000000, 7176217796019415000000000000000000000000000, 7143087753910876000000000000000000000000000, 
7097391641478615000000000000000000000000000, 7038500525798231000000000000000000000000000, 6965762697901888000000000000000000000000000, 
6878502958218049000000000000000000000000000, 6776021881350859000000000000000000000000000, 6657595059598599000000000000000000000000000, 
6522472324500110000000000000000000000000000, 6369876945779465000000000000000000000000000, 6199004807360097000000000000000000000000000,
6009023561700804000000000000000000000000000, 5799071764725514000000000000000000000000000, 5568257984938686500000000000000000000000000, 
5315659846641954500000000000000000000000000, 5040322931839337400000000000000000000000000, 4741259620980138000000000000000000000000000, 
4417448690750281700000000000000000000000000, 4067837503627662500000000000000000000000000, 3691345975348259000000000000000000000000000, 
3286855701365474300000000000000000000000000, 2853140616143400500000000000000000000000000, 2388736519800758700000000000000000000000000, 
1892078401684682700000000000000000000000000, 1362913948402335700000000000000000000000000, 805481085231717500000000000000000000000000, 
227126506133713940000000000000000000000000, -390391312766520300000000000000000000000000, -1166419640696129800000000000000000000000000, 
-2326569281508652200000000000000000000000000, -3634965943407357000000000000000000000000000, -2649421315114942400000000000000000000000000, 
6133539438479623000000000000000000000000000, 20370365854829553000000000000000000000000000, -9491419095245120000000000000000000000000000, 
-214172322182588170000000000000000000000000000
